[55.7499129, -4.6309252]
[38.6616254, -9.0798924]
[46.6849789, 21.0866918]
[55.8196725, -4.0226652]
[38.7526572, -9.1846924617537]
[11.4854717, 122.2687558]
[-34.0028793, 18.4747837]
[55.7702053, -2.0037523]
[41.0744732, 28.7656610517417]
[0, 0]
[0, 0]
[51.21307425, 4.24942444709701]
[39.9697864, -82.9299022]
[0, 0]
[0, 0]
[44.492362, 11.3099902706856]
[39.3885002, -121.4052424]
[44.68051, 20.3795639637002]
[55.8985334, -3.6401591]
[0, 0]
[-23.6617687, -70.3913442]
[35.32306, 139.34222]
[0, 0]
[51.20892, 3.22424]
[50.7834973, -0.6730718]
[41.7897204, 0.8054914]
[54.116667, -114.4]
[55.89914295, -3.65659911777617]
[53.3618575, -6.27495253757693]
[44.3033031, -80.6646426]
[42.3501, -71.15644]
[51.0125403, -114.0834469]
[51.0181448, -4.2064223]
[-41.0523688, 145.9064073]
[52.0882012, -0.2589013]
[52.5700229, -2.0822333]
[54.5999938, -1.28228446159162]
[52.4813679, -1.8980726]
[50.6314676, -1.3169906]
[0, 0]
[41.05453, -76.23327]
[-33.9171897, 151.0335881]
[51.7607271, -0.5652554]
[51.5389922, 0.0804245]
[34, 9]
[0, 0]
[51.262826, -1.0861976]
[49.84465765, 18.2994501673712]
[-33.9171897, 151.0335881]
[0, 0]
[0, 0]
[37.2256828, -121.9826364]
[-26.1111111, 28.0075]
[53.72861225, -2.48926707356824]
[19.16667, -104]
[12.619767, -86.5918195]
[51.5116371, -0.10380006205119]
[-26.1111111, 28.0075]
[34.60869, -98.39033]
[-33.915, 151.0927778]
[-15.7862543, 35.0035694]
[0, 0]
[53.8245483, -3.03731989502197]
[0, 0]
[0, 0]
[53.29348, -2.1107855]
[33.842711, -98.5786329]
[0, 0]
[30.1996409, -91.2076062]
[53.8918365, -1.7429194]
[47.0666667, 9.5]
[-10, -55]
[0, 0]
[52.4813679, -1.8980726]
[54.870025, -6.26500048569893]
[0, 0]
[42.47337, -83.22187]
[67.2768117, 14.3846780006858]
[53.3572438, -1.3357657]
[51.4028046, 0.0148142]
[0, 0]
